,S0,r,sigma,T,autocall_barrier,coupon_barrier,coupon_rate,knock_in_barrier,price
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,100.20184769257388,0.02501542328721782,0.2257672673400849,1.2407345636927032,1.0747270452566602,0.8003785816948704,0.027627690578452883,0.6981878652886009,0.7052714020352083
std,11.557503598352826,0.014463085871007754,0.07157851813354595,0.4354994853685192,0.04319157233573605,0.11490003656063796,0.013066725315660522,0.11576627114893417,0.03319057111265703
min,80.00219056527979,6.1839014966258435e-06,0.10003411605282067,0.5001220880446471,1.0000155776243052,0.6000138757443282,0.005003818366475875,0.5000246911851483,0.6156310582147788
25%,90.1425587487383,0.012738276200422565,0.164047802240956,0.8597334758461945,1.0373156974800164,0.7020069255757653,0.016248452720000334,0.5969267210512538,0.6816715953619874
50%,100.35114836969873,0.02495746538114086,0.22606028414817236,1.2359613104739302,1.0746271577756104,0.7998003719707968,0.027525203910210187,0.6974862287455459,0.7026892670777565
75%,110.28668886178978,0.03748881470772587,0.28732026679877815,1.61905316886812,1.112005106960173,0.899660033561413,0.039128598927665875,0.797819775320221,0.726904502796655
max,119.99947325883123,0.04999713816484143,0.3499821240638211,1.9999216241881719,1.1499839610022171,0.9999944828049457,0.04999661669615413,0.8999972323707583,0.8181622006820116
