price,time,option,K,T,r,sigma,algo,surrogate_price,hybrid_price,surrogate_error,hybrid_error,surrogate_time,hybrid_time
0.8354725815693229,0.26471948623657227,digital,80,2.0,0.05,0.15,MC,,,,,,
,,digital,80,2.0,0.05,0.15,LightGBM,0.8304988804574926,0.8322694571094754,0.004973701111830264,0.003203124459847495,0.0,0.033186912536621094
,,digital,80,2.0,0.05,0.15,XGBoost,0.8319379091262817,0.8328123595602971,0.0035346724430411758,0.0026602220090258255,0.0010008811950683594,0.026526451110839844
,,digital,80,2.0,0.05,0.15,CatBoost,0.8353471964068429,0.8326313920766901,0.00012538516248006282,0.0028411894926327896,0.0010025501251220703,0.024525165557861328
5.24156218948464,0.2705655097961426,asian,100,1.0,0.03,0.2,MC,,,,,,
,,asian,100,1.0,0.03,0.2,LightGBM,5.204359351542296,5.225556680057403,0.03720283794234369,0.01600550942723622,0.0,0.0372006893157959
,,asian,100,1.0,0.03,0.2,XGBoost,5.0239386558532715,5.304525940001398,0.2176235336313681,0.06296375051675884,0.0,0.028038740158081055
,,asian,100,1.0,0.03,0.2,CatBoost,5.296347575699574,5.257399090694514,0.05478538621493456,0.01583690120987402,0.0,0.027553319931030273
0.19032941682666416,0.26779651641845703,asian,120,0.5,0.01,0.25,MC,,,,,,
,,asian,120,0.5,0.01,0.25,LightGBM,0.2430202057326297,0.1800273974743128,0.05269078890596554,0.010302019352351366,0.0,0.03453516960144043
,,asian,120,0.5,0.01,0.25,XGBoost,0.22109010815620422,0.21145499376931173,0.03076069132954007,0.021125576942647578,0.0010004043579101562,0.028540849685668945
,,asian,120,0.5,0.01,0.25,CatBoost,0.21624321326515825,0.21110662112866915,0.02591379643849409,0.020777204302004998,0.0009999275207519531,0.027051210403442383
22.819655065990325,0.26514554023742676,asian,80,2.0,0.05,0.15,MC,,,,,,
,,asian,80,2.0,0.05,0.15,LightGBM,22.777088721977435,22.773193954697618,0.042566344012890056,0.04646111129270736,0.0010001659393310547,0.029539823532104492
,,asian,80,2.0,0.05,0.15,XGBoost,23.061275482177734,22.933050841011113,0.24162041618740915,0.11339577502078768,0.00099945068359375,0.027026891708374023
,,asian,80,2.0,0.05,0.15,CatBoost,22.652861547466994,22.698936163239384,0.16679351852333113,0.12071890275094077,0.001504659652709961,0.026038646697998047
