iter	RMSE
217	3.385585749
218	3.384613037
219	3.382687974
220	3.382073643
221	3.380332645
222	3.378590281
223	3.378225714
224	3.376132635
225	3.374947452
226	3.372729016
227	3.37130925
228	3.370609983
229	3.368610237
230	3.367491823
231	3.364691455
232	3.363990565
233	3.363505876
234	3.361736927
235	3.358796037
236	3.358240623
237	3.356158053
238	3.354733326
239	3.353999471
240	3.351652752
241	3.350100243
242	3.348300381
243	3.347903199
244	3.347447002
245	3.346760491
246	3.34505621
247	3.344178858
248	3.342781688
249	3.340678933
250	3.339596032
251	3.338578173
252	3.337784513
253	3.335275974
254	3.333243385
255	3.331380961
256	3.330450512
257	3.329996081
258	3.329286867
259	3.328694195
260	3.326965565
261	3.326428241
262	3.325697949
263	3.324098152
264	3.323099261
265	3.32198878
266	3.321217444
267	3.320123926
268	3.31858615
269	3.317697492
270	3.317115735
271	3.315456184
272	3.313160695
273	3.312648149
274	3.311282828
275	3.310608497
276	3.309565571
277	3.309077075
278	3.308569131
279	3.308000114
280	3.307633912
281	3.306773177
282	3.3056762
283	3.303884956
284	3.302680779
285	3.300609608
286	3.299446914
287	3.297957597
288	3.296473123
289	3.295945537
290	3.294053869
291	3.293431501
292	3.291905331
293	3.290817942
294	3.289972425
295	3.288509056
296	3.287924919
297	3.28695811
298	3.284929484
299	3.284035993
300	3.282982473
301	3.282003952
302	3.281571963
303	3.280939219
304	3.279202238
305	3.278667561
306	3.27822024
307	3.277362821
308	3.276141947
309	3.275749586
310	3.274868128
311	3.274362462
312	3.273616959
313	3.273181094
314	3.272048591
315	3.27002692
316	3.268148114
317	3.267618039
318	3.267264076
319	3.266045484
320	3.264790208
321	3.263578753
322	3.26190849
323	3.261247048
324	3.260360055
325	3.25867693
326	3.256994878
327	3.255336643
328	3.253816455
329	3.253100522
330	3.252861711
331	3.252276686
332	3.251549184
333	3.25112856
334	3.249975334
335	3.249646602
336	3.249046193
337	3.247955173
338	3.247495429
339	3.246095078
340	3.243891865
341	3.242948081
342	3.242328221
343	3.241909788
344	3.240806892
345	3.240130791
346	3.238640014
347	3.238308428
348	3.237557806
349	3.237207563
350	3.235706503
351	3.235026494
352	3.234672126
353	3.233902771
354	3.233614881
355	3.232596184
356	3.232099775
357	3.231381255
358	3.230967852
359	3.230118772
360	3.229184243
361	3.227957171
362	3.227445166
363	3.227045893
364	3.226550372
365	3.226149774
366	3.224538909
367	3.223592282
368	3.223282277
369	3.222689106
370	3.222287472
371	3.221393946
372	3.220775693
373	3.220469069
374	3.219134277
375	3.21826942
376	3.217438899
377	3.216888921
378	3.215980664
379	3.215439485
380	3.215119859
381	3.213151161
382	3.21156656
383	3.210093759
384	3.2094056
385	3.208468581
386	3.208175888
387	3.206487594
388	3.205506946
389	3.203887954
390	3.202514846
391	3.201896332
392	3.200658072
393	3.200139067
394	3.199334339
395	3.199079234
396	3.198479759
397	3.197196573
398	3.195740887
399	3.195176402
400	3.194620883
401	3.193337548
402	3.19249067
403	3.192200383
404	3.191476838
405	3.190909543
406	3.190524235
407	3.189649783
408	3.189272618
409	3.189000418
410	3.188467087
411	3.18728716
412	3.186481865
413	3.1861121
414	3.185380483
415	3.184182795
416	3.183652135
417	3.183455878
418	3.182388176
419	3.181642035
420	3.180184183
421	3.179584578
422	3.178796346
423	3.17809753
424	3.177797884
425	3.177044422
426	3.17657144
427	3.176167443
428	3.17491926
429	3.173467296
430	3.172901402
431	3.172190878
432	3.171744273
433	3.171527277
434	3.171150185
435	3.169779246
436	3.16940412
437	3.168184171
438	3.167881795
439	3.167333831
440	3.165949486
441	3.165349431
442	3.164980301
443	3.163732836
444	3.16297974
445	3.162212071
446	3.161330111
447	3.161091078
448	3.160607604
449	3.15938722
450	3.158620406
451	3.158203092
452	3.15773612
453	3.157458843
454	3.157118484
455	3.156585098
456	3.155985815
457	3.155757617
458	3.154952689
459	3.15436553
460	3.153507324
461	3.15300021
462	3.152650225
463	3.151960992
464	3.150913509
465	3.150679842
466	3.149830483
467	3.149263659
468	3.147997657
469	3.147696165
470	3.146524601
471	3.146087134
472	3.145581999
473	3.145261505
474	3.144249042
475	3.143032825
476	3.142146468
477	3.14143383
478	3.140590209
479	3.140484383
480	3.140285749
481	3.140052453
482	3.139739709
483	3.13909197
484	3.137921012
485	3.137261268
486	3.13662288
487	3.136307859
488	3.136102287
489	3.135826434
490	3.135308282
491	3.134781635
492	3.134577525
493	3.133595666
494	3.133034789
495	3.132381296
496	3.131866669
497	3.131616821
498	3.131029553
499	3.130731028
500	3.130045465
501	3.129789711
502	3.128578083
503	3.128399902
504	3.127811989
505	3.126859548
506	3.126343077
507	3.125940092
508	3.125741475
509	3.125469287
510	3.125033459
511	3.124431849
512	3.124150524
513	3.12297848
514	3.121910534
515	3.121469222
516	3.121332278
517	3.120533437
518	3.119646114
519	3.119447551
520	3.118953467
521	3.117939047
522	3.117477238
523	3.116881517
524	3.116637927
525	3.116228385
526	3.115926748
527	3.115536311
528	3.114781084
529	3.113674168
530	3.113022634
531	3.112663368
532	3.111964251
533	3.111711826
534	3.110839347
535	3.110610841
536	3.110321411
537	3.109872484
538	3.109268815
539	3.109106472
540	3.10811411
541	3.107474877
542	3.10733965
543	3.106848738
544	3.106058263
545	3.105520938
546	3.104931841
547	3.104547633
548	3.104242669
549	3.103790212
550	3.103349316
551	3.102716057
552	3.102285724
553	3.102199994
554	3.101644504
555	3.100795414
556	3.099887032
557	3.099479234
558	3.099316903
559	3.099090449
560	3.098603352
561	3.097643655
562	3.097433263
563	3.097189899
564	3.09681953
565	3.096455355
566	3.095987588
567	3.095298103
568	3.094344119
569	3.093784817
570	3.093543643
571	3.093062963
572	3.092407799
573	3.092222359
574	3.091817988
575	3.091114796
576	3.090135847
577	3.089476075
578	3.088864814
579	3.088306885
580	3.087915428
581	3.087753439
582	3.087297679
583	3.086994253
584	3.0868461
585	3.08664043
586	3.086013098
587	3.085156185
588	3.084938488
589	3.084033428
590	3.083842473
591	3.083028754
592	3.082596059
593	3.082378417
594	3.081935298
595	3.0814036
596	3.081180324
597	3.080470085
598	3.079929119
599	3.079209218
600	3.078132186
601	3.0776315
602	3.077227522
603	3.076449661
604	3.075789481
605	3.075292655
606	3.07429527
607	3.074228164
608	3.073795915
609	3.073675344
610	3.073192024
611	3.072445406
612	3.071985093
613	3.071630045
614	3.071459216
615	3.071097822
616	3.070751005
617	3.070162503
618	3.070019826
619	3.069914474
620	3.069515215
621	3.069272039
622	3.068934189
623	3.068301914
624	3.06757043
625	3.067391005
626	3.066400451
627	3.066072303
628	3.065985421
629	3.065369073
630	3.065080254
631	3.064428355
632	3.063785774
633	3.063303962
634	3.062975092
635	3.062812111
636	3.062488202
637	3.061806913
638	3.061161613
639	3.060720008
640	3.060329938
641	3.060199608
642	3.059529677
643	3.059183118
644	3.059050757
645	3.058705117
646	3.057943117
647	3.057747641
648	3.057488849
649	3.05682429
650	3.056539492
651	3.056180624
652	3.056078141
653	3.055722817
654	3.055417843
655	3.054799282
656	3.054694695
657	3.05408213
658	3.053185099
659	3.052819884
660	3.052585856
661	3.051642547
662	3.051022185
663	3.050277302
664	3.050156783
665	3.049736475
666	3.049375243
667	3.04878269
668	3.047921535
669	3.047790318
670	3.047398767
671	3.046651836
672	3.045987587
673	3.045358914
674	3.045172038
675	3.044373792
676	3.04403949
677	3.043542181
678	3.04287351
679	3.042518397
680	3.041920622
681	3.041570008
682	3.041020578
683	3.040630232
684	3.040045313
685	3.039952762
686	3.03963422
687	3.039428558
688	3.039068127
689	3.038748498
690	3.037886856
691	3.037410486
692	3.037171761
693	3.037015152
694	3.036299315
695	3.035370194
696	3.034875956
697	3.034448279
698	3.033895757
699	3.033700167
700	3.032951396
701	3.032638212
702	3.032338955
703	3.0322285
704	3.031397469
705	3.031039108
706	3.030934817
707	3.030654685
708	3.030458693
709	3.030248204
710	3.029831282
711	3.029367401
712	3.028933226
713	3.028649568
714	3.028153612
715	3.027439463
716	3.027018046
717	3.02695383
718	3.026601844
719	3.026290242
720	3.025732248
721	3.025243984
722	3.024890476
723	3.024428847
724	3.024260356
725	3.023948348
726	3.02320625
727	3.022442014
728	3.022047115
729	3.021914572
730	3.02151881
731	3.020996694
732	3.020549318
733	3.020358778
734	3.01985688
735	3.019600147
736	3.019023606
737	3.018854703
738	3.018780648
739	3.018271856
740	3.017897066
741	3.017563353
742	3.017094678
743	3.016405493
744	3.015619493
745	3.015542099
746	3.015298613
747	3.015039225
748	3.014741289
749	3.014049952
750	3.013738693
751	3.013420532
752	3.013227831
753	3.012550064
754	3.011779373
755	3.011635557
756	3.011384792
757	3.010710692
758	3.010427943
759	3.010160868
760	3.010062551
761	3.009541107
762	3.008907138
763	3.008284433
764	3.007975744
765	3.00769706
766	3.007560035
767	3.006910936
768	3.006686055
769	3.006571231
770	3.006440146
771	3.006023038
772	3.005227456
773	3.004822978
774	3.004529446
775	3.004029128
776	3.003589691
777	3.00338183
778	3.00324374
779	3.002932082
780	3.002707189
781	3.002291853
782	3.001672574
783	3.00156843
784	3.001350876
785	3.000886146
786	3.000599425
787	3.000516216
788	3.000062434
789	2.999606489
790	2.99943649
791	2.99886214
792	2.998581358
793	2.998327579
794	2.998121659
795	2.997716725
796	2.997334753
797	2.996868523
798	2.996341674
799	2.99605498
800	2.99542995
801	2.995289139
802	2.995146122
803	2.9945352
804	2.994252639
805	2.994013006
806	2.993636321
807	2.993131715
808	2.993053691
809	2.992532118
810	2.992061673
811	2.991990162
812	2.991544035
813	2.990958207
814	2.990528231
815	2.990134077
816	2.98994456
817	2.989848405
818	2.9894504
819	2.989272543
820	2.989018445
821	2.988524017
822	2.988150674
823	2.987541707
824	2.98741866
825	2.986953466
826	2.986711992
827	2.986285766
828	2.986162413
829	2.985637388
830	2.9849844
831	2.984894131
832	2.984393799
833	2.984031822
834	2.983504914
835	2.983309585
836	2.982664187
837	2.982587037
838	2.982162908
839	2.981964799
840	2.981769317
841	2.981327672
842	2.980888243
843	2.980242867
844	2.979923132
845	2.979556097
846	2.97920077
847	2.978689136
848	2.978187772
849	2.978005035
850	2.977623817
851	2.977427235
852	2.977270542
853	2.9772114
854	2.977053483
855	2.976502281
856	2.975977861
857	2.975581752
858	2.975406696
859	2.975337535
860	2.975111423
861	2.974932988
862	2.974709573
863	2.974354786
864	2.974139077
865	2.973821058
866	2.973555165
867	2.973466038
868	2.973245957
869	2.972862256
870	2.972630881
871	2.972409675
872	2.972233069
873	2.972149691
874	2.972069365
875	2.971622541
876	2.97128096
877	2.970836497
878	2.970351578
879	2.969792362
880	2.96954623
881	2.969297979
882	2.968986112
883	2.968578494
884	2.968439526
885	2.967819015
886	2.967317067
887	2.96699759
888	2.966757591
889	2.966642414
890	2.966397372
891	2.966078624
892	2.965720449
893	2.965511097
894	2.965278162
895	2.965093176
896	2.964745669
897	2.964424871
898	2.964178858
899	2.963804729
900	2.963226926
901	2.962846265
902	2.962491038
903	2.962219888
904	2.962159119
905	2.961563789
906	2.96129182
907	2.961125929
908	2.960824822
909	2.960494965
910	2.960410467
911	2.960346487
912	2.960214967
913	2.959767687
914	2.959060958
915	2.95901705
916	2.958832494
917	2.958707814
918	2.958508162
919	2.958309775
920	2.958123351
921	2.957725116
922	2.957630418
923	2.957234983
924	2.957111426
925	2.95689954
926	2.956537578
927	2.956046945
928	2.955938083
929	2.955328936
930	2.95488812
931	2.954523212
932	2.954006123
933	2.953768946
934	2.953560733
935	2.953247312
936	2.952921152
937	2.952724346
938	2.952589085
939	2.952256505
940	2.952103586
941	2.951828605
942	2.951387012
943	2.951132968
944	2.950672555
945	2.950292791
946	2.950145989
947	2.949723384
948	2.949206124
949	2.949029459
950	2.948898456
951	2.948562036
952	2.948434239
953	2.948369155
954	2.948186176
955	2.948035321
956	2.94797347
957	2.947370455
958	2.9471559
959	2.947012833
960	2.946378429
961	2.945992628
962	2.945647436
963	2.944929504
964	2.944745461
965	2.944025057
966	2.94375339
967	2.943625869
968	2.943464011
969	2.943289852
970	2.942780233
971	2.942660333
972	2.942183334
973	2.941940827
974	2.941614833
975	2.94131923
976	2.94112669
977	2.940686272
978	2.940578118
979	2.940357255
980	2.940052594
981	2.939450997
982	2.939207567
983	2.938866233
984	2.938680941
985	2.938352473
986	2.938115972
987	2.937927239
988	2.937825639
989	2.937768764
990	2.937690883
991	2.937404214
992	2.937321639
993	2.937151289
994	2.93680352
995	2.936574247
996	2.936384416
997	2.936315364
998	2.935983605
999	2.935700375
