feature,importance
T,33.225666
K,29.415642
p9,12.501311
r,8.217761
sigma,3.228678
p_max,1.4890126
p8,1.2330661
p_min,1.1254385
realized_vol,1.1246337
p_mean,1.100783
p_std,1.0795747
p7,0.95463353
p5,0.94467056
p6,0.94381887
p4,0.93649465
p3,0.9271336
p2,0.8245451
p1,0.7271314
p0,0.0
