feature,importance
K,26.104172
sigma,25.144978
r,19.953876
T,7.161506
p9,6.7035694
p_min,1.872172
p_max,1.2869636
p_mean,1.2397399
p8,1.224393
p_std,1.2156993
realized_vol,1.1700985
p7,1.1575934
p6,1.1298075
p5,1.0548282
p4,1.0283598
p3,0.96619505
p2,0.85287416
p1,0.73317426
p0,0.0
