feature,importance
K,27.328285
T,13.342104
r,12.596338
option_flag,12.242904
sigma,8.143054
p9,6.595566
p8,3.3491285
p_max,2.9019904
p_min,2.1816008
realized_vol,1.4480441
p_std,1.2784578
p_mean,1.2000407
p5,1.1309671
p7,1.110843
p6,1.0881014
p4,1.0752017
p3,1.0685911
p2,1.0049334
p1,0.9138528
p0,0.0
